"","av_lambda","sum_lambda","Taxonomic_group","threat_intensity_log","threat_richness","hmn_pp_v_log","n_habitats","Protected_status","Utilised","Managed","Binomial","loc_id","Body_size_log","length"
"52",0.199340476,0.797361903,"Mammals",-1.65539227430397,4,1.55966201234534,1,"No",2,0,"Lemmus_trimucronatus","-133.728624_68.362042",1.84397984447816,4
"53",0.210674405,0.632023215,"Mammals",-3.10490497505735,2,0,1,"No",2,0,"Dicrostonyx_groenlandicus","-134.683061_69.019128",1.73559889969818,3
"54",0.433072218,1.299216655,"Mammals",-0.523291113861552,6,0.326253580689821,2,"No",0,0,"Myodes_gapperi","-119.883333_49.666667",1.2973227142053,3
"55",0.451586036,1.354758107,"Mammals",-0.523291113861552,6,0.326253580689821,3,"No",0,0,"Phenacomys_intermedius","-119.883333_49.666667",1.40140054078154,3
"56",0.083883114,1.677662272,"Mammals",-0.523291113861552,6,0.326253580689821,6,"No",0,0,"Microtus_longicaudus","-119.883333_49.666667",1.66940986728778,20
"57",0.550348817,1.651046452,"Mammals",-0.523291113861552,6,0.326253580689821,2,"No",0,0,"Zapus_princeps","-119.883333_49.666667",1.46239799789896,3
"58",0.240654832,0.721964496,"Mammals",-0.523291113861552,6,0.326253580689821,4,"No",0,0,"Sorex_cinereus","-119.883333_49.666667",0.66838591669,3
"59",0.389310591,1.167931772,"Mammals",-0.523291113861552,6,0.326253580689821,6,"No",0,0,"Mustela_erminea","-119.883333_49.666667",2.07693157455566,3
"60",0.186602967,0.74641187,"Mammals",-0.0260130340410505,5,1.46303789868417,2,"No",0,0,"Ondatra_zibethicus","-63.091341_46.416361",3.02765534131917,4
"61",0.430563323,1.291689969,"Mammals",0.349590621993584,3,0.264065713166216,12,"No",0,0,"Odocoileus_virginianus","-61.164851_45.857738",4.74435996103451,3
"62",0.175961441,0.527884324,"Mammals",0.423653314732807,4,0.637786794989243,2,"No",0,0,"Myodes_gapperi","-79.087009_46.416229",1.2973227142053,3
"63",0.097364936,0.292094807,"Mammals",-0.43335784410678,2,0,2,"No",0,0,"Myodes_gapperi","-82.448825_48.444828",1.2973227142053,3
"64",0.316340115,0.949020344,"Mammals",0.2226260058692,6,1.00062499647781,3,"No",0,0,"Tamias_striatus","-79.146454_46.634905",2.04886889573993,3
"65",0.226847589,0.680542766,"Mammals",-0.480969575153424,1,0,2,"No",0,0,"Myodes_gapperi","-89.337252_48.822374",1.2973227142053,3
"66",0.433676665,1.301029996,"Mammals",-0.544451883215616,1,0,3,"No",0,0,"Tamias_striatus","-82.134735_48.575324",2.04886889573993,3
"67",0.925490959,2.776472876,"Mammals",-0.232330535243173,5,0,3,"No",0,0,"Tamias_striatus","-89.473603_49.182231",2.04886889573993,3
"68",0.358854895,1.076564685,"Mammals",0.2226260058692,6,1.00062499647781,7,"No",0,0,"Peromyscus_maniculatus","-79.146454_46.634905",1.32797162362301,3
"69",0.134373884,0.403121652,"Mammals",-0.544451883215616,1,0,7,"No",0,0,"Peromyscus_maniculatus","-82.134735_48.575324",1.32797162362301,3
"70",0.514817503,1.544452508,"Mammals",-0.232330535243173,5,0,7,"No",0,0,"Peromyscus_maniculatus","-89.473603_49.182231",1.32797162362301,3
"71",0.030168772,0.78438808,"Mammals",-1.23746707956121,0,0,2,"Yes",0,0,"Rangifer_tarandus","-85.893055_48.248123",4.93467001417186,26
"72",0.157359669,0.786798344,"Mammals",-3.63921440124746,1,0,7,"No",0,2,"Peromyscus_maniculatus","-138.277537_60.933633",1.32797162362301,5
"73",0.129652168,0.648260841,"Mammals",-3.63921440124746,1,0,2,"No",0,0,"Myodes_rutilus","-138.277537_60.933633",1.29972515397564,5
"74",-0.103873428,-0.51936714,"Mammals",-3.63921440124746,1,0,6,"No",0,0,"Microtus_pennsylvanicus","-138.277537_60.933633",1.56525734342021,5
"75",0.073673335,0.368366676,"Mammals",-3.63921440124746,1,0,5,"No",0,0,"Microtus_oeconomus","-138.277537_60.933633",1.53630587235103,5
"76",0.032977487,0.164887433,"Mammals",-3.63921440124746,1,0,3,"No",0,0,"Phenacomys_intermedius","-138.277537_60.933633",1.40140054078154,5
"77",0.0221132,0.972980784,"Mammals",-0.168848227180982,7,0.300726532003155,2,"No",1,1,"Ovis_canadensis","-115_52",4.87300002419761,44
"78",0.014966561,0.434030262,"Mammals",-1.04172996303612,2,0,2,"Yes",2,2,"Ovis_canadensis","-114.583333_50.666667",4.87300002419761,29
"79",0.019879848,0.596395443,"Mammals",-0.798381115464383,2,0.0131394078467264,4,"No",2,2,"Oreamnos_americanus","-119_54",4.86033998335517,30
"80",-0.015158276,-0.090949657,"Mammals",-2.48066227911246,1,0,3,"No",2,0,"Lepus_americanus","-116.903713_61.535105",3.23300118983007,6
"81",0.24379307,1.218965351,"Mammals",-2.7240111266842,1,0,7,"No",1,0,"Ursus_maritimus","-95.276473_78.310956",5.58967080421095,5
"82",0.067259109,0.807109312,"Mammals",-3.69740651697114,0,0,1,"No",1,0,"Ochotona_collaris","-138.266667_61.216667",2.11058971029925,12
"83",0.058534453,0.468275621,"Mammals",-1.2692082335923,2,0,3,"No",0,0,"Alces_americanus","-118.516667_51.533333",5.73356673184349,8
"84",-0.22706782,-5.222559853,"Mammals",-0.92005553925025,5,0.677605646673539,2,"Yes",0,0,"Rangifer_tarandus","-116.185553_51.508146",4.93467001417186,23
"85",0.034428385,0.826281246,"Mammals",-0.92005553925025,5,0.677605646673539,7,"Yes",0,2,"Canis_lupus","-116.185553_51.508146",4.50763097841445,24
"86",0.002620117,0.052402337,"Mammals",-0.92005553925025,5,0.677605646673539,3,"Yes",0,2,"Cervus_elaphus","-116.185553_51.508146",5.14711072414856,20
"87",0.351839109,1.055517328,"Mammals",0.058630043375205,6,0.241625798053119,3,"Yes",0,0,"Mustela_frenata","-113.761142_50.141667",2.16731733474818,3
"88",0.047001329,0.423011964,"Mammals",-0.5391616908771,3,1.35333567027209,2,"No",2,0,"Phocoena_phocoena","-66.933194_45.009941",4.72015930340596,9
"89",0.068609387,0.617484483,"Mammals",-0.856573231188058,3,1.38528454974798,2,"No",2,0,"Phocoena_phocoena","-66.915904_45.009168",4.72015930340596,9
"90",0.2016885,0.605065501,"Mammals",0.058630043375205,6,0.241625798053119,7,"Yes",0,0,"Peromyscus_maniculatus","-113.761142_50.141667",1.32797162362301,3
"91",0.124950903,0.749705421,"Mammals",-0.290522650966849,6,0.119687469711861,7,"No",0,0,"Peromyscus_maniculatus","-113.476124_50.310222",1.32797162362301,6
"92",0.217524781,1.305148687,"Mammals",-1.99396458396899,3,0,7,"No",0,0,"Peromyscus_maniculatus","-122.233677_54.266485",1.32797162362301,6
"93",0.171024847,1.026149082,"Mammals",-1.99396458396899,3,0,2,"No",2,0,"Myodes_gapperi","-122.233677_54.266485",1.2973227142053,6
"94",1,6,"Mammals",-1.99396458396899,3,0,6,"No",2,0,"Microtus_pennsylvanicus","-122.233677_54.266485",1.56525734342021,6
"95",0.072096113,1.009345576,"Mammals",1.44466043606639,9,2.84551249103079,2,"No",2,1,"Procyon_lotor","-79.11_43.05",3.74232992419066,14
"96",-0.035676521,-0.142706084,"Mammals",-0.396326497737169,1,0,2,"No",2,0,"Myodes_gapperi","-85.58_49.24",1.2973227142053,4
"97",0.200101718,0.800406873,"Mammals",-0.396326497737169,1,0,7,"No",2,0,"Peromyscus_maniculatus","-85.58269_49.249515",1.32797162362301,4
"98",0.713114008,2.852456033,"Mammals",-0.396326497737169,1,0,4,"No",2,0,"Sorex_cinereus","-85.58269_49.249515",0.66838591669,4
"99",-0.5,-2,"Mammals",-0.396326497737169,1,0,3,"No",2,0,"Lepus_americanus","-85.58269_49.249515",3.23300118983007,4
